customer_id,amount,hour,is_new_device,is_new_location,distance_from_home,avg_transaction_amount,transactions_last_1h,transactions_last_24h,account_age_days,identity_risk_score,verification_failed,social_engineering_risk,behaviour_deviation_score,attack_type,is_fraud
255,1037.6401481716125,15,0,0,30.18256243076187,1023.4202162567643,0,9,639,0.04049291006971645,0,0.09978934448856874,0.23280590555227745,normal,0
884,4626.906538061706,14,0,0,1.6996499015509212,4336.129699165025,1,4,117,0.044438740921351985,0,0.17591431214921233,0.17826331247691493,normal,0
505,2978.0639456677354,23,0,0,16.491766722515514,3351.4803551676687,1,6,2442,0.07902472338531288,0,0.18362972434411937,0.167116929222894,normal,0
881,2331.6749515026227,12,0,0,5.4161912614008925,2144.671382140135,2,5,828,0.12775103622553027,0,0.03550158395918242,0.08150891923198139,normal,0
154,805.063685902252,20,0,0,43.59694702136415,3439.147391322729,0,8,799,0.006141288094262509,0,0.10982476562945485,0.043543421978703006,normal,0
140,5434.7139048932195,12,0,0,1.0477693441077323,4720.810076711458,2,7,330,0.19160599771690492,0,0.10991435107676491,0.07789828722585815,normal,0
935,1944.2062785563703,16,0,0,9.968992580062668,2623.593669583688,0,7,1897,0.14099544937981043,0,0.02792743968408944,0.15635650970370177,normal,0
378,2107.933085950545,10,0,1,64.17021227432228,3981.1948498955885,0,6,1165,0.17035239821739562,0,0.02923361232349129,0.18184519304416832,normal,0
1,2288.6576773627007,15,0,0,20.26600489954929,1899.0259203930011,1,5,277,0.26577546463330964,0,0.13731426638888652,0.21704738717994163,synthetic_identity,1
213,1880.226752639817,3,0,0,12.226501015237009,1679.0442951946284,1,7,1917,0.14140305885451818,0,0.16154356399629594,0.22147849887435622,normal,0
351,3296.586607905093,15,0,0,54.559954372213134,2671.818978168254,0,7,1465,0.04657411550576507,0,0.13200580502931505,0.18626021703927617,normal,0
188,5103.321588215508,7,0,0,5.2079353567731905,4898.168783453669,1,11,1368,0.19259677712017625,0,0.10696890184056791,0.08237006369302033,normal,0
155,426.05456474679113,0,0,1,0.6268135635701985,1303.0982181924953,0,6,382,0.15696733980122993,0,0.08872364409042209,0.08499540414200443,normal,0
498,1091.0831149833975,5,0,0,161.0479595257568,785.9533834481209,0,5,345,0.13415683241200696,0,0.08746949308849394,0.3772480759972029,behaviour_anomaly,1
415,2069.5156924193766,20,0,1,19.11601289009877,1182.5729725888584,1,7,1772,0.05434676938781065,0,0.6320992754940727,0.23436849535094276,social_engineering,1
465,2635.4357988575857,0,0,0,81.65183771474823,1684.1317006903528,0,8,1312,0.08729599835709631,0,0.07527281184802881,0.25714395996226164,account_takeover,1
