customer_id,amount,hour,is_new_device,is_new_location,distance_from_home,avg_transaction_amount,transactions_last_1h,transactions_last_24h,account_age_days,identity_risk_score,verification_failed,social_engineering_risk,behaviour_deviation_score,attack_type,is_fraud
407,1917.6026112814206,10,0,0,35.44528712807111,1862.205875569571,1,13,223,0.06992913848402219,0,0.004630486721928273,0.20607814018764448,normal,0
986,2580.2937929191744,7,0,0,3.305173890987606,2234.2196067216946,0,5,587,0.17320426635563138,0,0.12440782854701578,0.0958482758709813,normal,0
939,888.0922423507147,7,0,1,9.836132841355314,912.128790115494,1,14,2027,0.10974384591697035,0,0.19597335773717195,0.02223196505122546,normal,0
486,3191.392025033006,21,0,0,28.278702774860758,3654.0530367184615,0,5,549,0.16783954102260928,0,0.0166750671954921,0.09679964342458774,normal,0
770,5626.122853953431,10,0,0,0.3881001386432593,3374.400566352045,1,6,86,0.1410882666369044,0,0.08467683710473511,0.23784336712650725,normal,0
518,4015.697218156844,20,0,0,0.9631525988189784,3336.9366577364153,1,19,1319,0.011616207952079695,0,0.1942189930530021,0.15472289555841356,normal,0
742,1543.1065044226773,12,0,0,12.568405302729003,1554.8225595744973,1,14,2414,0.059250574450522266,0,0.01479708268899207,0.0773725682285887,normal,0
923,3510.2910399441334,21,0,0,8.179777738960606,3630.93279412932,0,9,562,0.17508575776247404,1,0.19133362883173363,0.03657101731553952,normal,0
947,1468.4717002186176,22,0,0,3.7143705901194815,979.0997052408254,1,11,664,0.43941099494306707,0,0.1089480643325827,0.20154615935773285,synthetic_identity,1
27,665.6836722124071,14,0,0,2.188326028911138,1198.8582375542592,2,11,2031,0.054343519779635946,0,0.0756631214330519,0.022099241786689594,normal,0
419,3049.2583509071096,8,0,0,0.6434301064938956,2853.8145962696344,2,10,759,0.16049091905593682,0,0.040678393547437325,0.217317650998833,normal,0
399,4378.892857839535,21,0,1,24.640532014743947,3128.048737270241,0,17,2425,0.030994407609511023,0,0.19329572887852794,0.024189529828537754,normal,0
895,3791.6449118710298,15,0,0,4.347078522755066,2838.2979779972616,0,9,2988,0.1838021478990205,0,0.0034766488091557027,0.20964541001688045,normal,0
907,4083.922525983847,15,0,0,206.41940908131707,3361.052466084543,0,12,1978,0.07813956502670888,0,0.13500632927973796,0.5797271421516433,behaviour_anomaly,1
399,4857.574217573197,21,0,0,13.510016399088773,3128.048737270241,0,12,2425,0.25852460660671783,0,0.44064575540641,0.5605167242118104,social_engineering,1
897,9955.15016388402,7,0,0,367.86546895518705,1526.0170559135465,2,7,2218,0.2570079582281454,0,0.04454573538787006,0.6673538141466038,account_takeover,1
902,747.535463810961,15,0,0,45.36245532559135,592.862713558369,0,4,2025,0.034375617122338296,0,0.054065301009680704,0.052895655996541946,normal,0
94,2321.7711287875895,15,0,0,21.68424663752243,2464.4701914932366,1,11,2109,0.07539864707332698,0,0.007250463502958971,0.21403255508826147,normal,0
654,3117.147168738112,15,0,0,16.955019685674703,3109.038159645155,0,2,1469,0.1277446430123736,0,0.13538286797521726,0.20076224758098465,normal,0
780,2591.3343087941244,21,0,0,8.337248776084348,2744.0167150985408,0,16,1602,0.019516801686392894,0,0.02892216633020439,0.1182341232416011,normal,0
788,2050.6940126977634,9,0,1,0.06558602922589303,1902.9799586727397,1,12,230,0.03291779061866456,0,0.05339604245942935,0.1030209917779169,normal,0
488,1748.5630654471372,14,0,0,12.925603034610322,1483.3711635728062,1,10,203,0.017905948707063104,0,0.14402351848592126,0.03632408039254148,normal,0
659,2272.353332644682,15,0,0,25.82311331544721,2760.7103446606043,0,8,1586,0.06931742508022512,1,0.014315277954925265,0.09305523260946563,normal,0
40,2069.52761533105,19,0,0,4.002495182826649,2040.5337280886044,0,7,2098,0.13881446670619688,0,0.059611514358961906,0.10563484505596371,normal,0
713,692.4295641044557,13,0,0,23.47382260322643,2150.5166599255544,0,13,1801,0.14192033589741393,0,0.106260559205031,0.1567038403465399,normal,0
209,530.4258530459095,22,0,0,12.65251296211172,517.7155434617654,0,7,1929,0.10487999448817187,0,0.13280317810566933,0.22571022306524552,normal,0
