amount,hour,is_new_device,is_new_location,distance_from_home,avg_transaction_amount,transactions_last_1h,transactions_last_24h,account_age_days,identity_risk_score,verification_failed,social_engineering_risk,behaviour_deviation_score,attack_type,is_fraud
48404.973163828545,8,0,0,200.9672665218908,1478.029525941161,3,2,2679,0.3571959497238859,0,0.4323689897207342,0.22183821448497398,social_engineering,1
2889.9490697931856,3,0,0,10.2509612436045,2161.644857996937,0,4,2611,0.24347368333524969,0,0.18362099958395708,0.11518290588978883,normal,0
635.394630517145,5,0,0,34.17365698868728,1929.9726164490614,0,13,2828,0.11557396220317058,0,0.07386561451591873,0.18211655597631568,normal,0
2553.166699025353,12,1,0,363.8282093846126,1764.256464407744,3,8,129,0.5639763530120125,1,0.39500137740542657,0.7965090864307041,synthetic_identity,1
3253.5307064629724,9,0,0,38.95905032033781,1852.490509462693,3,5,956,0.07069018711514395,0,0.11059345688156984,0.19335773557702862,normal,0
3872.968410183193,7,0,0,37.48731793141971,3242.731436784688,0,4,513,0.05539303432906154,0,0.29736458838753577,0.08674553579889016,normal,0
2432.646970775588,5,0,1,41.27703457536773,2954.183603868371,0,8,2587,0.04369156555203086,0,0.28149106936972956,0.08095972134599061,normal,0
2398.299662838954,6,0,0,34.95982366764272,654.0902853010767,1,12,319,0.19492611152902353,0,0.02806214995101659,0.009825652959707387,normal,0
3376.3517776297117,23,0,0,47.24704532135068,945.4292216902894,0,2,2881,0.29056702149140157,0,0.2341300369466535,0.009324956271674078,normal,0
2766.844433957119,3,0,0,49.70062680466093,1096.8151421580424,2,6,2041,0.1689878601813092,0,0.02171739964309507,0.19453365292163108,normal,0
704.0905185648396,22,0,0,12.716735675301422,1758.4661172223327,2,6,301,0.05259300441718717,0,0.004162983605156178,0.18509374789981178,normal,0
3620.4243418804954,23,0,0,27.43733327317087,1338.8141503916697,3,6,2972,0.051880010987499225,0,0.12323884820509992,0.2074556160300102,normal,0
45261.24182037351,0,0,0,9.046087484071364,774.151764145527,3,6,1680,0.26487474568217734,0,0.8480284729082833,0.7118912285370167,social_engineering,1
751.748014645911,4,0,0,30.53412641024404,1094.4745649218708,3,12,2341,0.1371511497870552,0,0.16352334770277863,0.15073832270621326,normal,0
3871.758451999727,15,0,1,5.485558443003241,3295.903566716327,3,5,1932,0.07879786890660885,0,0.13658291291271227,0.016317257666732997,normal,0
12961.885129644032,9,0,0,78.70138717490599,2673.0245715147726,0,1,117,0.30173906704928105,0,0.3221744138537576,0.7560453701363028,behaviour_anomaly,1
16467.062212154764,16,1,1,476.54118015076244,1509.85747555756,0,10,154,0.6267688102448616,1,0.38887127888500306,0.53113454106429,synthetic_identity,1
497.63097482757183,9,0,0,18.376291732027312,667.0269429508728,1,6,416,0.2172202444193105,0,0.17399839991491592,0.23740624657575368,normal,0
2067.3221477203124,7,0,1,46.370183786455165,637.7667960974504,2,5,576,0.2790671203174806,0,0.2672896513619285,0.03469417188016564,normal,0
1013.5474845068471,23,0,0,9.426105555423337,822.3583199964575,2,8,527,0.21200502232760168,0,0.08820422598603052,0.13407997581201028,normal,0
1530.3647501392556,4,0,0,15.239449983678993,2729.4546333185203,1,13,108,0.11998704716249989,0,0.0963798307516157,0.20527497569201267,normal,0
547.967759903977,16,0,1,14.224223960365102,1364.6664327341982,1,6,2771,0.21089795526693011,0,0.16634886167770083,0.15299171770049014,normal,0
3966.0272836118875,16,0,0,30.21633061484491,887.08759834136,3,13,2638,0.1735233453164343,0,0.2342445926444358,0.1402379407946048,normal,0
3138.356504049716,15,0,0,25.160902537260828,2899.624018449534,2,5,338,0.13862894042254598,0,0.15476848529944193,0.1506414041938371,normal,0
2410.723323895776,11,0,0,3.01727527009405,3320.605297282784,2,8,92,0.09919599181799184,0,0.007062416323879738,0.16572458340659993,normal,0
38947.62900785532,17,0,0,21.91209132753723,1426.307603302626,2,12,425,0.09697831407045121,0,0.5262429966516686,0.3755715146606222,social_engineering,1
